Documento  0 

Índice	 	Término		 TF	 IDF	 TF-IDF	
8    	          fruit 	 1	 0.301	0.301	
9    	       rosemary 	 1	 1.301	1.301	
10    	       barbecue 	 1	 1.301	1.301	
11    	          spice 	 1	 1.301	1.301	
12    	       teriyaki 	 1	 1.301	1.301	
13    	          sauce 	 1	 1	1	
14    	        flavors 	 1	 0.398	0.398	
15    	           give 	 1	 1.301	1.301	
16    	           wine 	 1	 0.26	0.26	
17    	           bold 	 1	 1.301	1.301	
18    	          chewy 	 1	 1.301	1.301	
19    	           feel 	 1	 1.301	1.301	



Documento  8 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	           inky 	 1	 1.301	1.301	
2    	          color 	 1	 1.301	1.301	
3    	           wine 	 1	 0.26	0.26	
4    	          plump 	 1	 1	1	
5    	         aromas 	 1	 0.602	0.602	
6    	           ripe 	 1	 0.699	0.699	
7    	          fruit 	 1	 0.301	0.301	
8    	     blackberry 	 1	 1.301	1.301	
9    	            jam 	 1	 1.301	1.301	
10    	            rum 	 1	 1.301	1.301	
11    	           cake 	 1	 1.301	1.301	
12    	         palate 	 1	 0.602	0.602	
13    	           soft 	 1	 0.824	0.824	
14    	         smooth 	 1	 1.301	1.301	



Documento  9 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	           part 	 1	 1	1	
2    	        natural 	 1	 1.301	1.301	
3    	       movement 	 1	 1.301	1.301	
4    	           wine 	 2	 0.26	0.52	
5    	        organic 	 1	 1.301	1.301	
6    	         grapes 	 1	 1.301	1.301	
7    	          label 	 1	 1.301	1.301	
8    	        printed 	 1	 1.301	1.301	
9    	      vegetable 	 1	 1.301	1.301	
10    	            ink 	 1	 1.301	1.301	
11    	       recycled 	 1	 1.301	1.301	
12    	          paper 	 1	 1.301	1.301	
13    	        quality 	 1	 1	1	
14    	          fruit 	 1	 0.301	0.301	
15    	           nice 	 1	 1.301	1.301	
16    	          juicy 	 1	 0.824	0.824	
17    	         palate 	 1	 0.602	0.602	
18    	         bright 	 1	 0.824	0.824	
19    	          berry 	 1	 0.699	0.699	
20    	         flavor 	 1	 0.602	0.602	
21    	         finish 	 1	 0.602	0.602	



Documento  10 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	     catarratto 	 1	 1.301	1.301	
2    	       sicily's 	 1	 1.301	1.301	
3    	         widely 	 1	 1.301	1.301	
4    	         farmed 	 1	 1.301	1.301	
5    	          white 	 1	 0.824	0.824	
6    	          grape 	 1	 1.301	1.301	
7    	      varieties 	 1	 1.301	1.301	
8    	     expression 	 1	 1.301	1.301	
9    	          shows 	 1	 0.824	0.824	
10    	        mineral 	 1	 1	1	
11    	           note 	 1	 1.301	1.301	
12    	         backed 	 1	 1	1	
13    	         citrus 	 1	 0.824	0.824	
14    	         almond 	 1	 1.301	1.301	
15    	        blossom 	 1	 1.301	1.301	
16    	        touches 	 1	 1	1	



Documento  11 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	          stiff 	 1	 1.301	1.301	
2    	         tannic 	 1	 1.301	1.301	
3    	           wine 	 1	 0.26	0.26	
4    	         slowly 	 1	 1.301	1.301	
5    	          opens 	 1	 1.301	1.301	
6    	         brings 	 1	 1.301	1.301	
7    	        brambly 	 1	 1.301	1.301	
8    	          berry 	 1	 0.699	0.699	
9    	        flavors 	 1	 0.398	0.398	
10    	           play 	 1	 1.301	1.301	
11    	          notes 	 1	 0.523	0.523	
12    	         earthy 	 1	 1.301	1.301	
13    	          herbs 	 1	 1.301	1.301	
14    	          touch 	 1	 1	1	
15    	     bitterness 	 1	 1	1	
16    	        tannins 	 1	 0.699	0.699	



Documento  12 

Índice	 	Término		 TF	 IDF	 TF-IDF	
1    	        festive 	 1	 1.301	1.301	
